F1,F2,type
16795,16796,VST3
17029,17270,VST3
17029,17656,VST3
17049,17174,VST3
17251,17252,VST3
17255,17256,VST3
17270,17656,VST3
17600,17648,VST3
17667,17668,VST3
17776,17777,VST3
17944,17945,VST3
18038,18039,VST3
18146,18147,VST3
18219,18220,VST3
18291,18292,VST3
18358,18359,VST3
18394,18395,VST3
18396,18397,VST3
18433,18434,VST3
18440,18441,VST3
18460,18461,VST3
18477,18478,VST3
18483,18484,VST3
18489,18490,VST3
18522,18524,VST3
18544,18551,VST3
18571,18572,VST3
18624,18625,VST3
18629,18630,VST3
18653,18654,VST3
18685,18686,VST3
18708,18709,VST3
18712,18713,VST3
18745,18749,VST3
18781,18782,VST3
18804,18805,VST3
18813,18815,VST3
18835,18840,VST3
18856,18857,VST3
18868,18869,VST3
18910,18911,VST3
18920,18921,VST3
18945,18946,VST3
18996,18997,VST3
19006,19007,VST3
19030,19031,VST3
19062,19063,VST3
19110,19111,VST3
19141,19142,VST3
19160,19161,VST3
19181,19182,VST3
19185,19186,VST3
19193,19194,VST3
19195,19196,VST3
19203,19204,VST3
19221,19222,VST3
19299,19300,VST3
19311,19312,VST3
19334,19335,VST3
19357,19358,VST3
19362,19364,VST3
19566,19567,VST3
19601,19602,VST3
19626,19628,VST3
19687,19688,VST3
19690,19691,VST3
19709,19710,VST3
19711,19712,VST3
19733,19734,VST3
19752,19753,VST3
19766,19767,VST3
19872,19873,VST3
19912,19914,VST3
20075,20076,VST3
20089,20090,VST3
20095,20096,VST3
20136,20137,VST3
20207,20208,VST3
20220,20221,VST3
20256,20257,VST3
20262,20263,VST3
20265,20266,VST3
20303,20304,VST3
20326,20327,VST3
20345,20346,VST3
20417,20418,VST3
20427,20428,VST3
20452,20453,VST3
20497,20498,VST3
20538,20539,VST3
20620,20621,VST3
20622,20623,VST3
20624,20625,VST3
20639,20640,VST3
20661,20662,VST3
20681,20682,VST3
20711,20712,VST3
20732,20733,VST3
20734,20735,VST3
20737,20738,VST3
20752,20753,VST3
20770,20771,VST3
20850,20851,VST3
20875,20876,VST3
20892,20893,VST3
20895,20896,VST3
20899,20900,VST3
20988,20989,VST3
20996,20997,VST3
21024,21025,VST3
21037,21038,VST3
21105,21106,VST3
21113,21114,VST3
21126,21127,VST3
21157,21158,VST3
21161,21162,VST3
21190,21191,VST3
21198,21199,VST3
21228,21229,VST3
21239,21240,VST3
57082,57083,VST3
57132,57133,VST3
57143,57144,VST3
57206,57207,VST3
57224,57225,VST3
57349,57350,VST3
57437,57438,VST3
57470,57471,VST3
57547,57548,VST3
57558,57559,VST3
57569,57570,VST3
57598,57599,VST3
57622,57623,VST3
57646,57647,VST3
57660,57661,VST3
57696,57697,VST3
57746,57747,VST3
57816,57817,VST3
57872,57873,VST3
57880,57881,VST3
57885,57886,VST3
57963,57964,VST3
58060,58061,VST3
58075,58076,VST3
58100,58101,VST3
58119,58120,VST3
58124,58125,VST3
58135,58136,VST3
58152,58153,VST3
58256,58257,VST3
58256,59055,VST3
58256,59056,VST3
58257,59055,VST3
58257,59056,VST3
58305,58306,VST3
58454,58455,VST3
58475,58476,VST3
58597,58600,VST3
58610,58611,VST3
58614,58615,VST3
58668,58669,VST3
58674,58675,VST3
58705,58706,VST3
58714,58715,VST3
58735,58736,VST3
58735,60066,VST3
58735,60067,VST3
58736,60066,VST3
58736,60067,VST3
58753,58754,VST3
58823,58824,VST3
58921,58922,VST3
58965,58966,VST3
59055,59756,VST3
59055,59757,VST3
59056,59756,VST3
59056,59757,VST3
59080,59081,VST3
59130,59132,VST3
59154,59155,VST3
59200,59201,VST3
59233,59234,VST3
59260,59261,VST3
59262,59263,VST3
59289,59290,VST3
59318,59319,VST3
59335,59336,VST3
59341,59342,VST3
59363,59364,VST3
59419,59420,VST3
59422,59423,VST3
59438,59439,VST3
59513,59514,VST3
59551,59552,VST3
59556,59557,VST3
59565,59566,VST3
59579,59580,VST3
59608,59609,VST3
59649,59650,VST3
59700,59701,VST3
59819,59820,VST3
59821,59822,VST3
59844,59845,VST3
59935,59936,VST3
59946,59947,VST3
60066,60067,VST3
60073,60074,VST3
60327,60328,VST3
60471,60472,VST3
60536,60537,VST3
60628,60629,VST3
87795,87796,VST3
88022,88023,VST3
88031,88032,VST3
88075,88076,VST3
88101,88102,VST3
88124,88125,VST3
88269,88270,VST3
88306,88307,VST3
88349,88350,VST3
88422,88423,VST3
88491,88492,VST3
88493,88494,VST3
88571,88572,VST3
88676,88677,VST3
88798,88799,VST3
88919,88920,VST3
88953,88954,VST3
89073,89074,VST3
89086,89087,VST3
108833,108834,VST3
108852,108853,VST3
150043,150044,VST3
150338,150339,VST3
150393,150394,VST3
150422,150423,VST3
150434,150435,VST3
150486,150487,VST3
150507,150509,VST3
150543,150544,VST3
150638,150639,VST3
150654,150655,VST3
150668,150669,VST3
150686,150687,VST3
150719,150720,VST3
150786,150787,VST3
150788,150790,VST3
150859,150860,VST3
150863,150864,VST3
151039,151040,VST3
151071,152861,VST3
151071,152863,VST3
151072,151074,VST3
151073,152861,VST3
151073,152863,VST3
151082,151083,VST3
151104,151105,VST3
151198,151199,VST3
151303,151304,VST3
151338,151339,VST3
151345,151346,VST3
151347,151348,VST3
151377,151378,VST3
151471,151472,VST3
151485,151486,VST3
151487,151488,VST3
151497,151498,VST3
151541,151542,VST3
151547,151548,VST3
151631,151632,VST3
151704,151705,VST3
151744,151745,VST3
151816,151817,VST3
151859,151860,VST3
151863,151864,VST3
151888,151889,VST3
151910,151911,VST3
151918,151919,VST3
151945,151946,VST3
151991,151992,VST3
152216,152217,VST3
152329,152330,VST3
152352,152353,VST3
152422,152423,VST3
152500,152501,VST3
152611,152612,VST3
152619,152620,VST3
152698,152699,VST3
152731,152732,VST3
152801,152802,VST3
152847,152848,VST3
152860,152862,VST3
152897,152898,VST3
153007,153008,VST3
153170,153171,VST3
153219,153220,VST3
153329,153330,VST3
153360,153361,VST3
153398,153400,VST3
153442,153443,VST3
153445,153446,VST3
153475,153476,VST3
153486,153487,VST3
153514,153515,VST3
153608,153609,VST3
153610,153611,VST3
153621,153622,VST3
153652,153653,VST3
153661,153662,VST3
153690,153691,VST3
153697,153698,VST3
179418,179419,VST3
179449,179450,VST3
179524,179525,VST3
179731,179732,VST3
179758,179759,VST3
180059,180060,VST3
180097,180257,VST3
180099,180100,VST3
180181,180182,VST3
180492,180493,VST3
180557,180558,VST3
180564,180565,VST3
180608,180609,VST3
180672,180673,VST3
180990,180991,VST3
181046,181047,VST3
181050,181051,VST3
181090,181091,VST3
181142,181143,VST3
181378,181379,VST3
181412,181413,VST3
181424,181425,VST3
181440,189053,VST3
181440,189054,VST3
181441,189053,VST3
181441,189054,VST3
181444,181445,VST3
181470,181471,VST3
181490,181491,VST3
181500,181501,VST3
181526,181527,VST3
181546,181547,VST3
181589,181590,VST3
181617,181618,VST3
181619,181620,VST3
181625,181626,VST3
181684,181685,VST3
181686,181687,VST3
181742,185713,VST3
181742,185714,VST3
181743,185713,VST3
181743,185714,VST3
181754,181755,VST3
181762,181763,VST3
181784,181785,VST3
181836,181837,VST3
181893,181894,VST3
181919,181920,VST3
181951,181952,VST3
181955,181956,VST3
182026,182027,VST3
182050,182051,VST3
182089,182090,VST3
182089,184365,VST3
182089,184366,VST3
182090,184365,VST3
182090,184366,VST3
182133,182134,VST3
182179,182180,VST3
182235,182236,VST3
182237,182239,VST3
182259,182260,VST3
182285,182286,VST3
182309,182310,VST3
182323,182324,VST3
182329,182330,VST3
182333,182334,VST3
182372,182373,VST3
182395,182396,VST3
182417,182418,VST3
182456,182457,VST3
182472,182473,VST3
182484,182485,VST3
182492,182493,VST3
182506,182507,VST3
182540,182541,VST3
182542,182543,VST3
182546,182547,VST3
182554,182555,VST3
182556,182557,VST3
182566,182567,VST3
182642,182643,VST3
182687,186800,VST3
182687,186801,VST3
182687,187837,VST3
182687,187838,VST3
182687,188072,VST3
182687,188073,VST3
182687,188160,VST3
182687,188161,VST3
182688,186800,VST3
182688,186801,VST3
182688,187837,VST3
182688,187838,VST3
182688,188072,VST3
182688,188073,VST3
182688,188160,VST3
182688,188161,VST3
182691,182692,VST3
182721,182722,VST3
182727,182728,VST3
182741,182742,VST3
182821,182822,VST3
182823,182824,VST3
182848,182849,VST3
182911,182913,VST3
182922,182923,VST3
183074,183075,VST3
183082,183083,VST3
183102,183103,VST3
183114,183115,VST3
183120,183121,VST3
183158,183159,VST3
183164,183165,VST3
183170,183171,VST3
183204,183205,VST3
183214,183215,VST3
183274,183275,VST3
183311,183312,VST3
183327,183328,VST3
183358,188234,VST3
183358,188235,VST3
183359,188234,VST3
183359,188235,VST3
183387,183388,VST3
183419,183420,VST3
183455,183456,VST3
183459,183460,VST3
183501,183502,VST3
183541,183542,VST3
183559,183560,VST3
183593,183594,VST3
183595,183597,VST3
183647,183648,VST3
183738,183739,VST3
183746,183747,VST3
183748,183749,VST3
183754,183755,VST3
183768,184167,VST3
183768,184168,VST3
183769,184167,VST3
183769,184168,VST3
183776,183777,VST3
183880,183881,VST3
183898,183899,VST3
183978,183979,VST3
183980,183981,VST3
183984,183985,VST3
183986,183987,VST3
184030,184031,VST3
184060,184061,VST3
184076,184077,VST3
184080,184081,VST3
184175,184176,VST3
184191,184192,VST3
184197,187435,VST3
184197,187436,VST3
184198,187435,VST3
184198,187436,VST3
184213,184214,VST3
184239,184240,VST3
184261,184262,VST3
184275,184276,VST3
184359,184360,VST3
184359,185683,VST3
184359,185684,VST3
184360,185683,VST3
184360,185684,VST3
184369,184370,VST3
184399,184400,VST3
184423,184424,VST3
184439,184440,VST3
184495,184496,VST3
184537,184538,VST3
184567,184568,VST3
184593,184594,VST3
184607,184608,VST3
184672,184673,VST3
184691,184692,VST3
210388,211847,VST3
210479,211910,VST3
210815,210816,VST3
210868,210869,VST3
210886,210887,VST3
211113,212655,VST3
16606,16607,VST3
16748,16749,VST3
16606,16921,T4
16851,16889,T4
17023,17430,T4
17079,17252,T4
17136,17144,T4
17174,17372,T4
17191,17372,T4
17468,17524,T4
17762,18077,T4
18283,18834,T4
18283,20901,T4
18287,19458,T4
18287,20504,T4
18292,21037,T4
18359,20381,T4
18460,18938,T4
18460,19847,T4
18460,20137,T4
18471,20988,T4
18484,21157,T4
18489,18606,T4
18525,21115,T4
18541,19317,T4
18541,19590,T4
18543,19447,T4
18547,20739,T4
18548,19739,T4
18571,20956,T4
18624,19538,T4
18629,20117,T4
18629,20956,T4
18653,19767,T4
18749,20952,T4
18751,19848,T4
18781,19631,T4
18812,19449,T4
18813,20266,T4
18839,19833,T4
18846,20502,T4
18847,20095,T4
18868,20670,T4
18883,20095,T4
18912,19914,T4
18912,19944,T4
18920,19968,T4
18921,20392,T4
18939,20895,T4
18972,20247,T4
18977,19419,T4
19006,20537,T4
19063,19432,T4
19111,19546,T4
19141,20839,T4
19185,21227,T4
19204,20394,T4
19221,19449,T4
19255,21157,T4
19419,19832,T4
19419,20621,T4
19517,20075,T4
19560,20118,T4
19650,21106,T4
19709,19872,T4
19709,20262,T4
19711,20867,T4
19873,20809,T4
19969,21213,T4
19972,20399,T4
20075,20808,T4
20076,20718,T4
20241,21115,T4
20266,20740,T4
20393,21116,T4
20399,20621,T4
20407,20850,T4
20498,20682,T4
20551,20648,T4
20672,20712,T4
20711,20738,T4
20717,20903,T4
20732,21157,T4
20737,20770,T4
20771,21226,T4
20901,21190,T4
20967,21115,T4
21126,21213,T4
21213,21227,T4
57421,58259,T4
57428,59166,T4
57534,58076,T4
57558,59650,T4
57558,59691,T4
57597,57646,T4
57598,58727,T4
57646,58091,T4
57693,59505,T4
57747,58117,T4
57843,58387,T4
57911,58981,T4
57925,58922,T4
57925,59993,T4
57964,58091,T4
58011,58065,T4
58056,60103,T4
58066,59063,T4
58120,59650,T4
58173,59810,T4
58273,58610,T4
58273,58624,T4
58291,59691,T4
58340,59422,T4
58367,59566,T4
58443,59336,T4
58487,59536,T4
58529,59143,T4
58587,59844,T4
58604,59808,T4
58686,58922,T4
58745,58765,T4
58754,59793,T4
58779,59420,T4
58824,60180,T4
58930,59644,T4
58958,59547,T4
58981,60067,T4
59100,59186,T4
59298,60108,T4
59301,59319,T4
59609,59861,T4
59633,59819,T4
59767,59953,T4
59775,59935,T4
59876,59982,T4
87823,88625,T4
108773,108815,T4
150020,150701,T4
150065,151266,T4
150080,152847,T4
150183,151801,T4
150219,150495,T4
150360,150714,T4
150384,153576,T4
150409,150510,T4
150434,153476,T4
150487,151973,T4
150507,151495,T4
150508,152499,T4
150509,151472,T4
150636,150790,T4
150639,153400,T4
150686,153576,T4
150884,152548,T4
150914,153518,T4
150948,151848,T4
151073,152069,T4
151137,151345,T4
151293,151860,T4
151338,153134,T4
151378,151860,T4
151497,152599,T4
151507,151586,T4
151512,153398,T4
151514,152655,T4
151586,151731,T4
151730,153236,T4
151859,152281,T4
151893,153621,T4
151912,153400,T4
151945,153606,T4
152043,152548,T4
152066,152501,T4
152847,153228,T4
152859,153536,T4
152991,153564,T4
153393,153576,T4
153497,153663,T4
179730,179994,T4
179759,180408,T4
179759,181164,T4
179943,180830,T4
180005,180204,T4
180059,181180,T4
180362,180706,T4
180464,180766,T4
181323,189613,T4
181354,189909,T4
181358,181379,T4
181358,181853,T4
181378,187066,T4
181378,188365,T4
181378,190898,T4
181379,185536,T4
181379,187566,T4
181413,187757,T4
181414,188931,T4
181434,181742,T4
181435,185544,T4
181435,188328,T4
181435,189771,T4
181460,190808,T4
181461,181499,T4
181471,185769,T4
181527,186446,T4
181528,188231,T4
181529,182961,T4
181529,184569,T4
181625,183365,T4
181627,181653,T4
181663,189761,T4
181664,182522,T4
181664,189909,T4
181669,187429,T4
181669,190620,T4
181670,186087,T4
181670,190442,T4
181684,189389,T4
181686,186391,T4
181686,189665,T4
181686,190638,T4
181742,190348,T4
181755,183569,T4
181755,189127,T4
181762,184050,T4
181763,182542,T4
181785,189990,T4
181788,187479,T4
181788,188749,T4
181794,188942,T4
181795,184913,T4
181812,183593,T4
181812,188328,T4
181813,182856,T4
181822,187753,T4
181823,185673,T4
181837,189284,T4
181837,190077,T4
181854,187168,T4
181893,188008,T4
181909,186209,T4
181910,188169,T4
181910,189068,T4
181915,188506,T4
181916,187370,T4
181945,189081,T4
181955,189555,T4
181956,182986,T4
181965,183738,T4
182051,188748,T4
182054,183040,T4
182054,186411,T4
182054,189465,T4
182089,189671,T4
182090,186324,T4
182105,183171,T4
182117,189331,T4
182133,182810,T4
182133,183749,T4
182133,185429,T4
182134,183786,T4
182134,185437,T4
182142,187513,T4
182150,189411,T4
182175,188145,T4
182176,182538,T4
182176,185155,T4
182179,190651,T4
182180,184413,T4
182198,188233,T4
182214,188804,T4
182237,185032,T4
182238,187595,T4
182239,182722,T4
182246,187062,T4
182259,184929,T4
182260,189901,T4
182285,188879,T4
182307,182805,T4
182307,189527,T4
182323,190859,T4
182329,184119,T4
182329,185782,T4
182329,190851,T4
182333,182471,T4
182398,185931,T4
182401,185181,T4
182402,190135,T4
182417,184946,T4
182417,189909,T4
182421,184612,T4
182423,190401,T4
182445,186976,T4
182455,182600,T4
182468,184505,T4
182470,184877,T4
182472,188352,T4
182472,190007,T4
182473,183328,T4
182484,190781,T4
182485,188667,T4
182493,183295,T4
182522,184577,T4
182530,185595,T4
182536,185493,T4
182537,183251,T4
182538,190881,T4
182539,184900,T4
182555,189771,T4
182557,189644,T4
182566,182791,T4
182566,186727,T4
182566,187547,T4
182567,190524,T4
182642,186064,T4
182668,187857,T4
182668,188922,T4
182668,188940,T4
182688,182910,T4
182692,187387,T4
182721,183067,T4
182721,185544,T4
182722,188506,T4
182727,183067,T4
182728,184978,T4
182777,184608,T4
182790,190680,T4
182805,183266,T4
182824,190078,T4
182849,184049,T4
182849,185207,T4
182849,185791,T4
182855,185054,T4
182856,183058,T4
182864,184977,T4
182864,186216,T4
182864,187061,T4
182905,188324,T4
182905,190897,T4
182911,184950,T4
182912,184505,T4
182913,186656,T4
182913,190704,T4
182923,187837,T4
182960,185188,T4
182961,187837,T4
182972,190517,T4
182995,189401,T4
183011,185924,T4
183055,188140,T4
183055,188144,T4
183063,186656,T4
183074,183668,T4
183074,188161,T4
183102,184056,T4
183117,188379,T4
183120,186385,T4
183120,186630,T4
183121,183562,T4
183153,183812,T4
183153,184341,T4
183153,185207,T4
183153,186975,T4
183153,190619,T4
183153,190704,T4
183188,189981,T4
183189,187462,T4
183189,188667,T4
183204,187696,T4
183206,189257,T4
183214,183688,T4
183214,184827,T4
183215,189520,T4
183234,190855,T4
183235,185826,T4
183250,187733,T4
183259,185437,T4
183266,184233,T4
183275,189158,T4
183278,187062,T4
183280,190620,T4
183297,189458,T4
183315,185657,T4
183316,183638,T4
183328,184663,T4
183328,189389,T4
183328,190809,T4
183347,188633,T4
183356,188272,T4
183364,185935,T4
183365,187011,T4
183368,190829,T4
183411,189622,T4
183419,184842,T4
183459,184705,T4
183460,184928,T4
183502,189989,T4
183515,185698,T4
183526,187061,T4
183541,189330,T4
183560,186073,T4
183562,184046,T4
183578,183777,T4
183594,184290,T4
183597,189693,T4
183611,185768,T4
183621,190865,T4
183647,190650,T4
183673,187436,T4
183694,184655,T4
183694,186982,T4
183702,188505,T4
183703,188256,T4
183739,184076,T4
183747,188881,T4
183749,188628,T4
183754,185782,T4
183786,188352,T4
183786,190751,T4
183787,188139,T4
183901,188365,T4
183924,186859,T4
183925,189165,T4
183925,189509,T4
183980,190855,T4
183981,187554,T4
183985,185595,T4
184023,187826,T4
184025,185977,T4
184025,189191,T4
184041,184373,T4
184041,185544,T4
184046,186840,T4
184054,184079,T4
184055,190898,T4
184060,187592,T4
184061,186064,T4
184080,190446,T4
184108,187513,T4
184108,189675,T4
184119,185466,T4
184129,187461,T4
184150,190779,T4
184175,190254,T4
184192,190904,T4
184196,186252,T4
184198,189961,T4
184214,187878,T4
184240,189608,T4
184242,185669,T4
184242,188855,T4
184251,186012,T4
184251,186331,T4
184252,188230,T4
184262,189013,T4
184275,185655,T4
184276,187436,T4
184277,184506,T4
184277,186435,T4
184277,187999,T4
184289,184778,T4
184290,184784,T4
184342,188257,T4
184348,185900,T4
184374,190878,T4
184413,186148,T4
184413,187557,T4
184414,186952,T4
184463,188788,T4
184505,189402,T4
184516,186069,T4
184530,189061,T4
184537,186982,T4
184537,190134,T4
184538,186106,T4
184538,186952,T4
184567,186317,T4
184577,190402,T4
184593,188462,T4
184607,185430,T4
184612,189458,T4
184613,187842,T4
184667,184824,T4
184667,189100,T4
184670,185116,T4
184673,186065,T4
210393,212368,T4
210526,211218,T4
210657,211106,T4
210839,212392,T4
210965,212057,T4
210998,212110,T4
16576,16593,T4
16576,16606,T4
16576,16607,T4
16576,16659,T4
16576,16587,T4
16576,16632,T4
16576,16645,T4
16576,16579,T4
16576,16588,T4
16576,16611,T4
16738,16751,MT3
16751,16755,MT3
16751,16936,MT3
16889,16909,MT3
17253,17254,MT3
17418,17586,MT3
17601,17602,MT3
59388,59793,MT3
150079,150080,MT3
150820,151378,MT3
151377,151792,MT3
151553,151554,MT3
151816,152144,MT3
151817,152145,MT3
180417,180919,MT3
181378,183251,MT3
181378,183978,MT3
181378,183979,MT3
181378,186136,MT3
181378,186137,MT3
181378,187873,MT3
181378,189693,MT3
181378,190378,MT3
181379,181836,MT3
181379,183978,MT3
181379,184593,MT3
181379,184752,MT3
181379,186812,MT3
181379,188272,MT3
181379,188273,MT3
181379,188328,MT3
181379,188881,MT3
181425,181491,MT3
181440,189330,MT3
181441,185342,MT3
181441,187580,MT3
181441,187603,MT3
181441,189101,MT3
181441,189330,MT3
181441,190752,MT3
181470,186412,MT3
181470,187808,MT3
181498,186317,MT3
181499,182445,MT3
181499,183561,MT3
181499,183562,MT3
181499,183898,MT3
181499,183899,MT3
181499,190155,MT3
181546,188505,MT3
181547,185536,MT3
181547,185537,MT3
181547,186124,MT3
181547,189577,MT3
181589,189396,MT3
181617,182986,MT3
181617,184289,MT3
181617,184290,MT3
181617,185567,MT3
181617,189622,MT3
181618,184700,MT3
181618,185568,MT3
181618,189622,MT3
181618,189623,MT3
181653,188233,MT3
181669,182259,MT3
181669,188882,MT3
181670,186412,MT3
181670,187162,MT3
181670,188882,MT3
181686,182742,MT3
181686,190542,MT3
181686,190660,MT3
181687,185923,MT3
181687,189613,MT3
181742,189564,MT3
181743,182864,MT3
181743,185536,MT3
181743,188962,MT3
181743,189564,MT3
181743,189780,MT3
181743,189781,MT3
181743,190441,MT3
181754,183296,MT3
181754,184525,MT3
181754,186125,MT3
181754,186943,MT3
181754,187580,MT3
181754,189576,MT3
181755,183296,MT3
181755,183368,MT3
181755,186124,MT3
181755,186937,MT3
181755,187580,MT3
181755,188883,MT3
181755,189386,MT3
181755,189387,MT3
181755,189509,MT3
181755,189576,MT3
181788,185936,MT3
181788,186316,MT3
181788,188008,MT3
181788,190484,MT3
181789,182691,MT3
181789,185935,MT3
181789,186361,MT3
181789,188007,MT3
181812,183898,MT3
181812,184667,MT3
181813,182422,MT3
181813,184666,MT3
181822,182026,MT3
181822,183251,MT3
181823,183702,MT3
181836,182567,MT3
181836,183898,MT3
181836,185776,MT3
181836,186317,MT3
181836,188647,MT3
181836,190484,MT3
181837,183356,MT3
181837,183899,MT3
181837,186575,MT3
181837,188647,MT3
181837,190154,MT3
181837,190378,MT3
181837,190484,MT3
181893,182456,MT3
181893,182691,MT3
181893,183312,MT3
181893,186943,MT3
181893,188918,MT3
181894,182259,MT3
181894,185142,MT3
181894,187580,MT3
181894,189940,MT3
181955,188633,MT3
181965,183595,MT3
182026,184593,MT3
182026,184752,MT3
182026,187070,MT3
182026,187873,MT3
182026,188788,MT3
182026,188882,MT3
182027,184753,MT3
182027,186250,MT3
182027,186812,MT3
182027,189576,MT3
182027,190378,MT3
182054,182567,MT3
182054,186250,MT3
182055,186813,MT3
182055,188788,MT3
182089,185208,MT3
182090,186859,MT3
182126,182454,MT3
182126,184278,MT3
182126,185670,MT3
182126,186937,MT3
182126,188505,MT3
182126,189386,MT3
182126,190744,MT3
182176,185342,MT3
182184,185249,MT3
182259,182691,MT3
182259,182692,MT3
182259,185030,MT3
182259,186012,MT3
182259,186575,MT3
182259,189014,MT3
182259,189939,MT3
182259,189940,MT3
182259,190523,MT3
182260,185029,MT3
182260,185030,MT3
182260,188787,MT3
182260,188882,MT3
182260,189013,MT3
182260,190728,MT3
182307,190008,MT3
182329,185074,MT3
182372,187436,MT3
182397,184671,MT3
182397,185902,MT3
182401,189053,MT3
182401,189577,MT3
182402,189576,MT3
182423,186616,MT3
182454,185182,MT3
182454,185536,MT3
182454,186124,MT3
182454,187580,MT3
182454,189386,MT3
182454,189577,MT3
182455,182863,MT3
182455,185029,MT3
182455,185182,MT3
182455,185336,MT3
182455,186250,MT3
182455,188018,MT3
182455,188787,MT3
182455,189564,MT3
182455,189603,MT3
182455,190743,MT3
182455,190744,MT3
182456,185141,MT3
182457,182848,MT3
182457,182849,MT3
182457,189643,MT3
182468,186936,MT3
182469,185826,MT3
182469,186936,MT3
182469,189387,MT3
182472,186012,MT3
182473,190780,MT3
182484,185464,MT3
182484,186249,MT3
182484,187542,MT3
182484,188787,MT3
182485,183702,MT3
182485,188008,MT3
182506,183152,MT3
182507,183152,MT3
182546,185537,MT3
182566,184876,MT3
182566,185030,MT3
182566,185335,MT3
182566,185336,MT3
182566,185608,MT3
182566,185825,MT3
182566,186011,MT3
182566,186575,MT3
182566,188961,MT3
182566,189386,MT3
182567,182721,MT3
182567,182863,MT3
182567,185030,MT3
182567,185775,MT3
182567,186011,MT3
182567,187603,MT3
182567,188882,MT3
182567,189054,MT3
182567,189564,MT3
182567,189965,MT3
182687,189776,MT3
182688,183346,MT3
182688,183622,MT3
182688,187060,MT3
182691,182782,MT3
182691,182783,MT3
182691,185775,MT3
182691,186252,MT3
182691,186316,MT3
182691,186813,MT3
182691,187579,MT3
182691,189014,MT3
182691,189386,MT3
182691,189603,MT3
182691,190814,MT3
182692,183312,MT3
182692,184876,MT3
182692,185335,MT3
182692,185464,MT3
182692,185536,MT3
182692,186012,MT3
182692,189054,MT3
182692,189386,MT3
182692,189939,MT3
182721,185336,MT3
182722,186574,MT3
182782,185579,MT3
182782,185580,MT3
182782,186250,MT3
182782,187603,MT3
182782,188018,MT3
182782,190423,MT3
182782,190442,MT3
182783,182864,MT3
182783,184526,MT3
182783,185181,MT3
182783,186249,MT3
182783,186832,MT3
182783,189053,MT3
182783,190441,MT3
182783,190744,MT3
